student_id,student_fixed_effect
2,-0.24999999999999845
3,0.04999999999999989
4,-0.39999999999999974
5,-0.09999999999999891
6,-0.5499999999999998
7,-0.649999999999998
8,-0.7499999999999973
9,-0.04999999999999789
10,-0.24999999999999867
11,-0.4999999999999979
12,-0.5999999999999985
13,-0.2500000000000004
14,-0.7499999999999991
15,-0.04999999999999926
16,-0.19999999999999862
17,0.05000000000000259
18,-0.6999999999999991
19,-0.04999999999999931
20,2.156134123896969e-15
21,-0.09999999999999754
22,-0.6499999999999999
23,0.05000000000000239
24,-0.49999999999999856
25,-0.24999999999999895
26,-0.1499999999999979
27,-0.14999999999999866
28,-0.04999999999999895
29,-0.04999999999999815
30,-0.1499999999999996
31,-0.39999999999999974
32,-0.04999999999999798
33,-0.2500000000000004
34,0.05000000000000053
35,-0.4999999999999979
36,-0.6499999999999967
37,-0.4000000000000004
38,0.05000000000000294
39,-0.0999999999999998
40,-0.19999999999999934
41,-0.049999999999997526
42,-0.04999999999999726
43,0.05000000000000148
44,-0.3499999999999988
45,0.050000000000000405
46,0.09999999999999946
47,0.1499999999999997
48,-0.3499999999999992
49,-0.04999999999999947
50,-0.14999999999999925
51,1.2420620087993939e-15
52,-0.65
53,-0.7499999999999996
54,-0.19999999999999887
55,-0.6499999999999988
56,-0.14999999999999805
57,-0.14999999999999758
58,-0.19999999999999973
59,0.05000000000000094
60,0.05000000000000111
61,-0.7499999999999991
62,-0.1999999999999995
63,0.05000000000000113
64,0.10000000000000077
65,-0.049999999999999045
66,0.05000000000000086
67,-0.849999999999999
68,-0.4499999999999986
69,-0.7
70,1.4085954624931674e-15
71,-0.1499999999999987
72,-0.2499999999999976
73,-0.7499999999999984
74,-0.10000000000000045
75,-0.7000000000000017
76,-0.2499999999999972
77,-0.4499999999999972
78,-0.24999999999999856
79,-0.25000000000000033
80,-0.09999999999999942
81,-0.24999999999999828
82,-0.1499999999999997
83,-0.19999999999999712
84,-0.2999999999999978
85,-0.5499999999999998
86,-0.49999999999999933
87,-0.24999999999999875
88,-0.7499999999999991
89,-0.349999999999999
90,-0.2499999999999999
91,-0.5499999999999976
92,-0.49999999999999883
93,-0.5499999999999992
94,2.939255716111958e-15
95,-0.7499999999999966
96,-0.5000000000000002
97,-0.29999999999999727
98,0.15000000000000185
99,-0.29999999999999827
100,-0.20000000000000018
101,0.1500000000000007
102,-0.39999999999999925
103,-0.299999999999999
104,-0.29999999999999893
105,5.421549626844166e-16
106,-0.7999999999999992
107,-0.2999999999999986
108,-0.14999999999999875
109,-0.3499999999999995
110,-0.1000000000000004
111,-0.14999999999999855
112,0.05000000000000193
113,-0.09999999999999953
114,-0.6999999999999984
115,-0.09999999999999881
116,-0.29999999999999893
117,-0.34999999999999865
118,-0.0999999999999973
119,-0.44999999999999785
120,-0.04999999999999796
121,-0.24999999999999847
122,-0.5499999999999985
123,-0.04999999999999838
124,-0.19999999999999724
125,-0.5499999999999985
126,-0.7499999999999989
127,-0.19999999999999815
128,-0.35000000000000003
129,0.05000000000000093
130,0.10000000000000075
131,-0.09999999999999892
132,-0.4999999999999981
133,8.049116928532385e-16
134,-0.19999999999999948
135,-0.0999999999999989
136,-0.4499999999999984
137,-0.2999999999999995
138,-0.49999999999999883
139,3.8163916471489756e-16
140,-0.8499999999999985
141,-0.8499999999999988
142,-0.449999999999998
143,-0.4999999999999982
144,-0.19999999999999896
145,-0.19999999999999857
146,-0.14999999999999925
147,9.020562075079397e-16
148,-0.14999999999999852
149,-0.3499999999999992
